,leage,game,view,length,real_time,duration,chat
42320,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 21:22:51,9378.149,NotLikeThis DELTE YUUMI
42321,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 21:22:52,9378.39,AYAYA 7
42322,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 21:22:52,9378.534,Riot Client 10/10 POGGERS
42323,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 21:22:52,9378.565,TriHard
42324,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 21:22:52,9378.572,TriHard BAN TriHard ONE TriHard TRIHARD TriHard YOU TriHard GET TriHard THE TriHard WHOLE TriHard BRUDDAHOOD TriHard
42325,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 21:22:52,9378.695,puriviMAHVOLDUK puriviMAHVOLDUK puriviMAHVOLDUK puriviMAHVOLDUK
42326,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 21:22:52,9378.841999999999,forsen1 forsen2
42327,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 21:22:52,9378.860999999999,FeelsBadMan FeelsBadMan FeelsBadMan FeelsBadMan FeelsBadMan FeelsBadMan
42328,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 21:22:52,9378.917,DAMWON -> NOWMAD monkaW
42329,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 21:22:52,9379.0,monkaW
42330,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 21:22:52,9379.126,FeelsPumpkinMan favorite emote
42331,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 21:22:52,9379.148000000001,ResidentSleeper
42332,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 21:22:52,9379.151,💿:v:
42333,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 21:22:52,9379.247,FAKER
42334,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 21:22:53,9379.382,ResidentSleeper ResidentSleeper ResidentSleeper ResidentSleeper ResidentSleeper
42335,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 21:22:53,9379.391,NUGURI MAD moon2A
42336,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 21:22:53,9379.395,ResidentSleeper ResidentSleeper ResidentSleeper ResidentSleeper
42337,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 21:22:53,9379.568000000001,tamald1Cute tamald1Atolito
42338,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 21:22:53,9379.726999999999,cmonBruh
42339,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 21:22:53,9380.105,Kappa
42340,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 21:22:53,9380.263,JUST SHOOT THE GOLIATH LULW
42341,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 21:22:54,9380.366,NA CLIENT LUL
42342,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 21:22:54,9380.562,?????????????
42343,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 21:22:54,9380.782,VCS > LCK MaxLOL
42344,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 21:22:54,9381.024,FLIP FLOP haHAA
42345,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 21:22:54,9381.098,WHO IS DAVID SO ???
42346,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 21:22:54,9381.215,League ResidentSleeper Story with Jatt POG
42347,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 21:22:55,9381.324,ResidentSleeper ResidentSleeper ResidentSleeper
42348,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 21:22:55,9381.355,pepelapopa
