,leage,game,view,length,real_time,duration,chat
15483,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 20:12:06,5133.281,NUGURI VLAD monkaW
15484,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 20:12:07,5133.403,Posture Pog
15485,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 20:12:07,5133.944,"here's to a great match, chat! :D 👍"
15486,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 20:12:07,5134.1140000000005,POG
15487,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 20:12:08,5134.319,SHOWMAKER AKALI GOD monkaW
15488,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 20:12:08,5134.389,ls would probably still say that morello is a bad buy in this game
15489,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 20:12:08,5134.469,@RedBull cmonBruh
15490,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 20:12:08,5134.622,lane swap
15491,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 20:12:08,5134.803,QIYANA AYAYA
15492,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 20:12:08,5135.285,FNATIC vs FNATIC Pog
15493,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 20:12:09,5135.698,Kreygasm Kreygasm Kreygasm Kreygasm
15494,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 20:12:09,5135.8640000000005,4HEAD
15495,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 20:12:09,5135.888,@hotdogss OkayChamp
15496,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 20:12:09,5135.944,@RedBull
15497,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 20:12:09,5135.964,YULI AYAYA
15498,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 20:12:10,5136.326,TriHard BAN TriHard ONE TriHard TRIHARD TriHard YOU TriHard GET TriHard THE TriHard WHOLE TriHard BRUDDAHOOD TriHard
15499,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 20:12:10,5136.843,NUGURI ON VLAD GG monkaW
15500,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 20:12:10,5136.855,moon2PREGARIO
15501,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 20:12:10,5137.289000000001,NUGURI VLAD PogU
15502,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 20:12:11,5137.3279999999995,AYAYA
15503,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 20:12:11,5138.037,NANI
15504,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 20:12:11,5138.186,@RedBull Pog
15505,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 20:12:12,5138.4529999999995,@RedBull marketing account in twitch chat WeirdChamp
15506,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 20:12:12,5138.633,@RedBull Pepega 📣 FOOOOR SAAAAAAN
15507,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 20:12:12,5138.751,"farm champs, not minions"
