,leage,game,view,length,real_time,duration,chat
54899,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:27,14748.087,HONG KONG RISE UP discoSalute
54900,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:27,14748.251,EU REF BABE
54901,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:27,14748.261999999999,ShazBotstix
54902,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:28,14748.486,AYAYA
54903,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:28,14748.528,Kreygasm Kreygasm
54904,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:28,14748.893,BLIZZARD LULW
54905,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:28,14749.171,pvman gf
54906,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:28,14749.29,<3 <3 <3 <3
54907,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:29,14749.42,FREE HONG KONG FOK CHINAS DIRTY MUNEY
54908,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:29,14749.604,moo
54909,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:29,14750.113000000001,@xPlashx my man!! didn't know you enjoyed LoL forsenE
54910,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:29,14750.19,AYAYA YULI AYAYA
54911,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:29,14750.298,RNG WeirdChamp FPX WeirdChamp IG WeirdChamp LPL WeirdChamp .
54912,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:30,14750.54,Free Hong Kong
54913,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:31,14751.313,ResidentSleeper eu production
54914,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:31,14752.263,Kreygasm
54915,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:32,14752.926000000001,FREE HONG KONG SwiftRage FIVE DEMANDS NOT ONE LESS SwiftRage
54916,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:32,14752.969,"FIGHT FOR FREEDOM, STAND WITH HONG KONG"
54917,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:32,14753.127,SwiftRage FREE NBA SwiftRage FREE BLIZZARD SwiftRage FREE HONG KONG
54918,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:32,14753.273000000001,Fight for freedom
54919,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:32,14753.288999999999,SwiftRage STAND WITH HONG KONG SwiftRage STAND AGAINST TYRANNY SwiftRage STAND WITH HONG KONG SwiftRage STAND AGAINST TYRANNY
54920,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:33,14753.313999999998,ISNT TENCENT PART OF RIOT GAMES. AND TENCENT IS PART OF CHINA. HOW IS HONGKONG PART OF THIS GAME. SHOULDNT TENCENT BAN HONGKONG CAUSE TENCENT IS PART OF CHINA!!!!!!!!!!!!!!!!
54921,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:33,14753.351,FREE BLITZCHUNG SwiftRage FREE HONG KONG SwiftRage
54922,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:33,14753.471000000001,TENCENT RIOT MAD SwiftRage
54923,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:33,14753.607,free hk
54924,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:33,14753.757,Kreygasm
54925,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:33,14753.928,Aguante Isurus!!
54926,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:34,14754.332,FREE HONG KONG
54927,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:34,14754.55,free hongkong
54928,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:34,14754.786,AYAYA FREE THE WEEBS AYAYA
54929,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:34,14754.806999999999,[This comment has been censored by the central government of the People’s Republic of China]
54930,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:34,14754.825,BigPhish NaM Winnie the Pooh BigPhish NaM The Tiananmen Square Massacre BigPhish NaM Free Hong Kong BigPhish NaM
54931,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:34,14754.991000000002,FREE HONG KONG
54932,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:34,14754.998,Are we sure that’s not sneaky as ref?
54933,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:34,14755.208,PogChamp
54934,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:35,14755.475,shipAYAYA shipAYAYA shipAYAYA
