,leage,game,view,length,real_time,duration,chat
85609,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 23:51:17,18283.403000000002,LUL PERPARE LUL FOR LUL 11 MINUTE LUL RIFT LUL HERALD LU
85610,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 23:51:17,18283.563000000002,DAMONTE NOT ON QIYANA LUL DAMONTE ON QIYANA LUL
85611,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 23:51:17,18284.055,tyler1NA tyler1NA tyler1NA tyler1NA
85612,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 23:51:17,18284.297,girls
85613,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 23:51:18,18284.467,TSM FAKER
85614,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 23:51:18,18284.547,LACK TOAST AND TOLERANT LULW
85615,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 23:51:18,18284.877,YULI AYAYA
85616,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 23:51:18,18284.915,YULI <3 <3 <3
85617,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 23:51:18,18284.952,-_-
85618,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 23:51:18,18285.09,DAMONTE LUL
85619,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 23:51:18,18285.221,LUL
85620,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 23:51:18,18285.235,bye bye royale youth
85621,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 23:51:18,18285.271,yulllliiiii
85622,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 23:51:19,18285.475,lira hasnt got any eyes wtf
85623,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 23:51:19,18285.918,YULI AYAYA
85624,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 23:51:19,18286.026,just right click 4Head
85625,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 23:51:19,18286.223,YUULI AYAYA
85626,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 23:51:20,18286.621,L B PagChomp
85627,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 23:51:20,18287.002,TANNER TIME
85628,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 23:51:21,18287.653000000002,LB
85629,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 23:51:22,18288.356,cmonBruh
85630,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 23:51:22,18288.369,LUCIAN VS LEB PepeLaugh OH NONONO
85631,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 23:51:22,18288.371,YULI AYAYAY
85632,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 23:51:22,18288.443,11 MINUTE RIFT HERALD LULW
85633,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 23:51:22,18288.595,YULI AYAYA
85634,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 23:51:22,18288.671000000002,Tanner ??
85635,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 23:51:22,18288.703999999998,-_- LIRA
85636,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 23:51:22,18288.751,LOST AGAIN Kreygasm
85637,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 23:51:23,18289.542,Spellflin what ?
85638,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 23:51:23,18289.633,BYE NA HeyGuys
85639,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 23:51:23,18289.724,Turkey hahahahahaha
85640,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 23:51:23,18289.778000000002,RYL GOING TO WIN
85641,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 23:51:23,18290.033,JINX SO GOOOOOOOOOOD
85642,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 23:51:23,18290.268,ELBEY
85643,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 23:51:24,18290.323,RYL <3 Poooound RYL <3 Poooound RYL <3 Poooound RYL <3 Poooound RYL <3 Poooound RYL <3 Poooound
85644,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-07 23:51:24,18290.37,ELLE BEE
