,leage,game,view,length,real_time,duration,chat
101072,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:15,21342.166,AYAYA PYKE AYAYA
101073,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:16,21342.472,BEST NA TEAM HAS 4 ASIANS 1 EU PLAYER AND NA TALKING LULW
101074,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:16,21342.835,"Hey mods, did you really think that slow mode will affect on me. I will let you know that I have multiple accounts in this chat right now. If you don't believe me, I will copy and paste this on my other accounts right now."
101075,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:17,21343.333,AYAYA NEEEKO AYAYA NEEKO AYAYA NIIIIII AYAYA
101076,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:17,21343.374,RPGAyaya RPGAyaya RPGAyaya
101077,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:17,21343.461,"Hey mods, did you really think that slow mode will affect on me. I will let you know that I have multiple accounts in this chat right now. If you don't believe me, I will copy and paste this on my other accounts right now. . ."
101078,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:17,21343.486,EU SO QUIET LUL
101079,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:17,21343.548,TriHard WE COOL EU ? TriHard
101080,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:17,21343.703999999998,KEKW
101081,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:17,21343.705,BALLER CHAMPION
101082,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:17,21344.046000000002,Baller TriHard
101083,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:18,21344.985,"Hey mods, did you really think that slow mode will affect on me. I will let you know that I have multiple accounts in this chat right now. If you don’t believe me, I will copy and paste this on my other accounts right now. . ."
101084,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:19,21345.491,LUL
101085,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:19,21345.785,NEEKO KappaPride KappaPride KappaPride KappaPride
101086,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:19,21345.828999999998,NO SONG PepeLaugh NO SONG PepeLaugh NO SONG PepeLaugh NO SONG PepeLaugh NO SONG PepeLaugh
101087,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:19,21346.141,sick
101088,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:19,21346.224,LUL
101089,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:19,21346.237999999998,": Hey mods, did you really think that slow mode will affect on me. I will let you know that I have multiple accounts in this chat right now. If you don't believe me, I will copy and paste this on my other accounts right now."
101090,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:20,21346.34,LULW
101091,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:20,21346.452,📞 AYAYA MOSHI MOSHI 📞 AYAYA RUNNING LOW ON CUTIES 📞 AYAYA NEED BACKUP 📞 AYAYA ARIGATO
101092,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:20,21346.898999999998,ALMOST ALL ASIANS OMEGALUL
101093,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:20,21346.972,guys who will win??
101094,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:20,21346.992000000002,3Head
101095,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:20,21347.002,WeirdChamp
101096,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:20,21347.211,"Hey mods, did you really think that slow mode will affect on me. I will let you know that I have multiple accounts in this chat right now. If you don't believe me, I will copy and paste this on my other accounts right now"
101097,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:21,21347.416,📞 AYAYA MOSHI MOSHI 📞 AYAYA RUNNING LOW ON CUTIES 📞 AYAYA NEED BACKUP 📞 AYAYA ARIGATO
