,leage,game,view,length,real_time,duration,chat
73344,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:24,12740.081,Kreygasm
73345,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:25,12740.612,LUL
73346,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:25,12740.615,0-3
73347,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:25,12740.876,55
73348,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:25,12740.886,MATA THE RETURN
73349,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:25,12740.965,FAKERRRERERERERER
73350,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:25,12740.966,SHURIMAAAAAAAAAAAAAAAAA
73351,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:25,12740.993999999999,VIZISLAVI
73352,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:25,12741.021,UMA JAN monkaW
73353,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:25,12741.077,LUL
73354,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:25,12741.124,LUL
73355,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:25,12741.148000000001,SKT
73356,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:25,12741.298,GG already LUL
73357,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:26,12741.345,BANG LUL
73358,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:26,12741.418,0 - 3 OMEGALUL RNN
73359,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:26,12741.68,SKT!!!!
73360,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:26,12741.733,LULW
73361,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:26,12741.876,GRILLS Kreygasm
73362,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:26,12741.976,Pog
73363,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:26,12742.001,LULW
73364,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:26,12742.044,02 AYAYA
73365,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:26,12742.1,SPYLOSE LULW
73366,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:26,12742.253999999999,LUL ZI
73367,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:26,12742.277,juggernult
73368,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:26,12742.296999999999,Zed or bed ResidentSleeper ResidentSleeper ResidentSleeper
73369,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:27,12742.308,PIG
73370,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:27,12742.344,LULW GG 3-0
73371,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:27,12742.361,0-2 LULW
73372,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:27,12742.372,SPY WIN
73373,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:27,12742.513,<3
73374,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:27,12742.628,RPGAyaya RPGAyaya RPGAyaya RPGAyaya RPGAyaya
73375,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:27,12742.741000000002,Perkz EleGiggle
73376,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:27,12742.743,CARRIED BY FAKER OMEGALUL WOLF AND BANG OMEGALUL
73377,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:27,12742.768999999998,SPY LULW
73378,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:27,12743.117,MATA UWU
73379,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:27,12743.139,VIZICSACSI
73380,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:27,12743.162,AYAYA
73381,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:28,12743.423999999999,AZIR monkaW
73382,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:28,12743.436000000002,BrokeBack BrokeBack BrokeBack BrokeBack BrokeBack BrokeBack BrokeBack
73383,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:28,12743.466999999999,Reverse sweep time Pog
73384,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:28,12743.556999999999,SSW Power Kappa
73385,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:28,12743.645,4Head
73386,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:28,12743.712,"Whoever said ""Teddy is so cute"" I agree with you."
73387,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:28,12743.75,F MANU
73388,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:28,12743.771999999999,lfkgjieociiiiii8tooclz
73389,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:28,12743.788999999999,Faker monkaW
73390,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:28,12743.806999999999,ff@15
73391,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:28,12743.815,MEGA
73392,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:28,12743.911,SSW MATA PogChamp PogChamp
73393,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:28,12744.015,ALL REGIONS HAVE ONLY 1 GOOD TEAM LUL LUL LUL
73394,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:29,12744.335,SPYWIN? LULW
73395,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:29,12744.375,ZED OR BED
73396,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:29,12744.457,AYAYA
73397,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:29,12744.461000000001,haHAA
73398,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:29,12744.638,BANG AND WOLF
73399,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:29,12744.695,LOOK AT THOSE SAD EU FANS CRYING LUL
73400,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:29,12744.761999999999,faker monkaW
73401,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:29,12744.806999999999,Pog
73402,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:29,12745.002,SPY BlessRNG
73403,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:29,12745.015,LUL
73404,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:29,12745.021999999999,4Head
73405,Worlds 2019 Quarterfinals Day 2,League of Legends,112409,33886,2019-10-27 21:55:29,12745.107,Splyce's draft is so much better...
