,leage,game,view,length,real_time,duration,chat
134213,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:11,28819.231,yellow
134214,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:12,28819.436,???
134215,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:12,28819.52,????
134216,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:12,28819.636000000002,RENEKTON PepeLaugh
134217,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:12,28819.66,??????????
134218,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:12,28819.664,nasus?
134219,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:12,28819.738999999998,?????????
134220,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:12,28819.914,Arrow???
134221,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:12,28820.037999999997,?????????????????
134222,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:12,28820.142999999996,\
134223,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:12,28820.228,\
134224,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:13,28820.301,nice yellow line
134225,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:13,28820.306,WutFace
134226,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:13,28820.349,FREE TYLER1 FREE TYLER1 FREETYLER1 FREE TYLER1 FREE TYLER1 FREETYLER1
134227,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:13,28820.415,????
134228,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:13,28820.45,star607Yo star607Yo star607Yo star607Yo star607Yo
134229,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:13,28820.603,???????????? OMEGALUL
134230,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:13,28820.641,MercyWing1 MercyWing2 MercyWing1 MercyWing2
134231,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:13,28820.651,"@zJaoTheJao No, whoever loses now, is out of knockout stage"
134232,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:13,28820.681,LMAOOo ?????
134233,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:13,28820.847,\
134234,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:13,28821.05,\
134235,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:13,28821.167,????
134236,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:13,28821.281000000003,YELLOOWWW LINE POOGGG
134237,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:14,28821.336,EU LOST TO WEEBS LUL
134238,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:14,28821.694,???????????
134239,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:14,28821.703999999998,\
134240,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:14,28821.841,??????
134241,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:14,28821.851000000002,nathanW Destiny?
134242,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:14,28821.957000000002,???????????
134243,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:14,28822.161,monkaW
134244,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:15,28822.318,YELLOW LINE
134245,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:15,28822.4,thresh has a lightsaber
134246,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:15,28822.479,YELLOW LINE Pog
134247,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:15,28822.599,PogChamp oce
134248,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:15,28822.851000000002,yellow line lol
134249,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:15,28822.923,\
134250,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:15,28822.945,\
134251,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:15,28823.025,@cozyjuu Just wait until group stage everyone will be playing the same 20 champs
134252,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:15,28823.097999999998,LULW
134253,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:15,28823.256,????????
134254,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:16,28823.388,\
134255,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:16,28823.395,?????
134256,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:16,28823.526,\
134257,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:16,28823.588,?????
134258,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:16,28823.639,KKomrad
134259,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:16,28823.766,NA OVERRATED Jebaited EU OUTDATED Jebaited LONG HAVE WE AWAITED Jebaited OCE ACTIVATED Jebaited
134260,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:16,28823.787999999997,@majork44 lul
134261,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:16,28823.952,????????????????????????
134262,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:16,28824.096,EU LOST TO WEEBS EU LOST TO WEEBS LUL
134263,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:16,28824.103,TTOURS
134264,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:16,28824.186,LULW
134265,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:17,28824.417999999998,EU PRODUCTION LULW
134266,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:17,28824.74,\
134267,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:17,28824.757999999998,ratirlMangoS ratirlMangoS ratirlMangoS ratirlMangoS ratirlMangoS
134268,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:17,28824.764,EU LOST TO WEEBS LUL EU LOST TO WEEBS LUL EU LOST TO WEEBS LUL EU LOST TO WEEBS LUL EU LOST TO WEEBS LUL EU LOST TO WEEBS LUL EU LOST TO WEEBS LUL EU LOST TO WEEBS LUL EU LOST TO WEEBS LUL EU LOST TO WEEBS LUL EU LOST TO WEEBS LUL
134269,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:17,28824.901,\\\\\\\\\\\\\\\\\\\\\\\\
134270,Play-In Groups Day 3 | 2019 World Championship,League of Legends,68772,34956,2019-10-05 01:48:17,28824.914,\
