,gameid,urlid,st,et,intime,video time,new_st,new_et
0,102844212430075086,489172130,2019-10-02T11:13:18.688Z,2019-10-02T11:51:21.804Z,3:38,1:29:51,5173,7455.999999999999
1,102844212430271695,489172130,2019-10-02T12:20:25.129Z,2019-10-02T12:54:13.187Z,5:13,2:38:30,9197,11225.0
2,102844212429092040,489172130,2019-10-02T13:20:18.470Z,2019-10-02T13:57:53.281Z,4:57,3:38:07,12790,15044.0
3,102844212430402768,489172130,2019-10-02T14:23:58.095Z,2019-10-02T15:03:26.737Z,6:19,4:43:09,16610,18978.0
4,102844212430599377,489172130,2019-10-02T15:28:36.590Z,2019-10-02T16:07:36.613Z,1:52,5:43:23,20491,22831.0
5,102844212429747404,489172130,2019-10-02T16:31:13.432Z,2019-10-02T17:01:22.312Z,6:52,6:51:00,24248,26056.0
6,102844224148503678,489599790,2019-10-03T11:11:38.059Z,2019-10-03T11:46:15.990Z,1:35,1:30:46,5351,7428.0
7,102844212428895431,489599790,2019-10-03T12:15:10.018Z,2019-10-03T12:49:24.907Z,4:55,2:37:38,9163,11217.0
8,102844224148896895,489599790,2019-10-03T13:15:48.818Z,2019-10-03T13:45:56.496Z,2:15,3:35:38,12803,14610.0
9,102844212430730450,489599790,2019-10-03T14:10:23.059Z,2019-10-03T14:50:25.563Z,2:21,4:30:17,16076,18478.0
10,102844224146472059,489599790,2019-10-03T15:14:05.007Z,2019-10-03T15:38:22.698Z,1:25,5:33:03,19898,21355.0
11,102844212429419722,489599790,2019-10-03T16:03:18.683Z,2019-10-03T16:33:19.101Z,2:42,6:23:35,22853,24653.0
12,102844212429288649,490008019,2019-10-04T10:11:32.035Z,2019-10-04T11:00:14.163Z,4:44,1:29:18,5074,7996.0
13,102844212431779031,490008019,2019-10-04T11:23:08.602Z,2019-10-04T11:56:47.877Z,3:38,2:39:51,9373,11391.999999999998
14,102844212431058132,490008019,2019-10-04T12:20:34.084Z,2019-10-04T13:01:44.532Z,4:23,3:38:04,12821,15291.0
15,102844212430927059,490008019,2019-10-04T13:25:48.193Z,2019-10-04T14:29:12.526Z,4:32,4:43:23,16731,20535.0
16,102844212429550795,490008019,2019-10-04T14:53:38.361Z,2019-10-04T15:18:13.856Z,6:26,6:13:09,22003,23478.0
17,102844212431320277,490008019,2019-10-04T15:41:39.457Z,2019-10-04T16:22:26.338Z,3:43,6:58:25,24882,27328.0
18,102904869420860038,490008019,2019-10-04T16:47:13.652Z,2019-10-04T17:15:35.795Z,5:32,8:5:51,28819,30521.0
19,102844224147717245,490460027,2019-10-05T10:11:20.575Z,2019-10-05T10:41:57.395Z,2:00,1:26:16,5056,6892.000000000001
20,102844212431975640,490460027,2019-10-05T11:05:08.195Z,2019-10-05T11:44:32.671Z,2:16,2:20:18,8282,10646.0
21,102844224145685626,490460027,2019-10-05T12:07:23.082Z,2019-10-05T12:35:35.609Z,0:57,3:21:16,12019,13711.0
22,102844212429944013,490460027,2019-10-05T12:58:31.291Z,2019-10-05T13:32:40.203Z,4:07,4:15:35,15088,17136.0
23,102844224146930812,490460027,2019-10-05T13:55:29.051Z,2019-10-05T14:36:03.226Z,5:08,5:13:35,18507,20941.0
24,102844212431516886,490460027,2019-10-05T14:59:52.297Z,2019-10-05T15:30:13.516Z,7:22,6:20:09,22367,24188.0
25,102910307641576395,490460027,2019-10-05T15:54:09.048Z,2019-10-05T16:22:03.473Z,8:00,7:15:05,25625,27299.0
26,102844235746868664,491376383,2019-10-07T13:08:32.084Z,2019-10-07T13:41:38.840Z,4:26,1:29:59,5133,7119.0
27,102844235746475447,491376383,2019-10-07T12:11:58.095Z,2019-10-07T12:48:08.881Z,2:38,2:38:56,9378,11548.0
28,102844235747261881,491376383,2019-10-07T14:01:00.170Z,2019-10-07T14:23:42.534Z,8:53,3:31:50,12177,13539.000000000002
29,102844235746082230,491376383,2019-10-07T11:11:11.008Z,2019-10-07T11:52:50.794Z,4:00,4:19:22,15322,17821.0
30,102844235752963525,491376383,2019-10-07T14:50:20.268Z,2019-10-07T15:20:18.571Z,1:56,5:06:39,18283,20081.0
31,102844235753749959,491376383,2019-10-07T16:29:15.786Z,2019-10-07T17:06:14.661Z,10:27,6:06:09,21342,23560.0
32,102844235753356742,491376383,2019-10-07T15:41:18.258Z,2019-10-07T16:08:56.062Z,11:20,06:54:57,24217,25874.0
33,102844235751390657,491785136,2019-10-08T11:59:40.165Z,2019-10-08T12:32:40.189Z,12:19,1:31:59,4780,6760.0
